agenda_item_id,agenda_item_title,matched_address_keys,confidence,subject_matter_number,subject_matter_particulars,registrant_type,registrant_name,beneficiary_names,beneficiary_types
2026.CC39.10,895 Lawrence Avenue East - Ontario Land Tribunal Hearing - Request for Directions,895 lawrence,street_type_matched,SM34113,Planning applications associated with the redevelopment of 895 Lawrence Avenue E.,Consultant,Fraser Macdonald,First Capital Realty Inc.; FCHT Holdings (Ontario) Corporation,Client; Subsidiary company
2026.CC39.10,895 Lawrence Avenue East - Ontario Land Tribunal Hearing - Request for Directions,895 lawrence,street_type_matched,SM29708,Zoning By-law Amendment application for 895 Lawrence Avenue East.,In-house,Jennifer Arezes,,
2026.TE29.12,"1684, 1698, 1700 and 1702 Queen Street East - Official Plan and Zoning By-law Amendment - Decision Report - Approval",1702 queen,street_type_matched,SM36836,1684-1702 Queen Street East - Official Plan and Zoning by-law applications for the development of 10 storeys.,Consultant,David Morse,Beach House Residences LP; Sud Group,Client; Parent company
2026.TE29.12,"1684, 1698, 1700 and 1702 Queen Street East - Official Plan and Zoning By-law Amendment - Decision Report - Approval",1702 queen,street_type_matched,SM28815,1684-1702 Queen Street East (6-story building): Zoning by-law amendment application.,Consultant,Tony Volpentesta,Queen Kingston Holdings Inc.; Sud Group,Client; Parent company
2026.TE29.12,"1684, 1698, 1700 and 1702 Queen Street East - Official Plan and Zoning By-law Amendment - Decision Report - Approval",1702 queen,street_type_matched,SM36821,"Official Plan Amendment and Zoning Bylaw Amendment for a Mixed Use Development proposal at 
1684-1702 Queen Street East",Consultant,Peter Milczyn,Beach House Residences Limited Partnership; Sud Group Inc,Client; Other
2026.TE29.12,"1684, 1698, 1700 and 1702 Queen Street East - Official Plan and Zoning By-law Amendment - Decision Report - Approval",1700 queen,street_type_matched,SM28137,1684-1700 Queen Street East,In-house,Wes Myles,,
2026.TE29.12,"1684, 1698, 1700 and 1702 Queen Street East - Official Plan and Zoning By-law Amendment - Decision Report - Approval",1702 queen,street_type_matched,SM34638,"Zoning by-law amendment for the development of a 6-storey building at 1684-1702 Queen Street East, Toronto.",Consultant,David Morse,Beach House Residences LP; Sud Group,Client; Parent company
2026.TE29.12,"1684, 1698, 1700 and 1702 Queen Street East - Official Plan and Zoning By-law Amendment - Decision Report - Approval",1702 queen,street_type_matched,SM35662,The work is to support the application to change the official plan and zoning bylaw for 1684-1702 Queen St East,Consultant,Joe Mihevc,The Sud Group,Client
2026.TE29.12,"1684, 1698, 1700 and 1702 Queen Street East - Official Plan and Zoning By-law Amendment - Decision Report - Approval",1702 queen,street_type_matched,SM36666,To support the planning application at 1684 to 1702 Queen St East,Consultant,Joe Mihevc,The Sud Group,Client
2026.PH29.6,105-109 Vanderhoof Avenue and 10 Brentcliffe Road - Official Plan Amendment Application - Appeal Report,10 brentcliffe,street_type_matched,SM23726,Zoning bylaw amendment application for 105-109 Vanderhoof and 10 Brentcliffe Rd,In-house,Jack Winberg,,
2026.EY31.3,"2915, 2917, 2939, 2941 and 2943 Bloor Street West - Zoning By-law Amendment Application - Appeal Report",2917 bloor,street_type_matched,SM22549,Potential rezoning of property located at 2915-2917 Bloor Street West.,In-house,Geoffrey Grayhurst,,
2026.EY31.3,"2915, 2917, 2939, 2941 and 2943 Bloor Street West - Zoning By-law Amendment Application - Appeal Report",2917 bloor,street_type_matched,SM22784,Rezoning application for 2915-2917 Bloor Street West.,In-house,Geoffrey Grayhurst,,
2026.EY31.3,"2915, 2917, 2939, 2941 and 2943 Bloor Street West - Zoning By-law Amendment Application - Appeal Report",2915 bloor,street_type_matched,SM25332,Assisting with the development of 2915 Bloor Street West.,Consultant,Amir Remtulla,Fieldgate Homes; 2915 Bloor Developments Limited,Client; Subsidiary company
2026.SC31.3,"1710 and 1712 Ellesmere Road - Official Plan Amendment, Zoning By-law Amendment and Draft Plan of Subdivision Applications - Decision Report - Approval",1712 ellesmere,street_type_matched,SM34275,1710-1712 Ellesmere Road,In-house,Michael Mestyan,,
2026.TE32.5,1233 Yonge Street and 9 Woodlawn Avenue East - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,1233 yonge; 9 woodlawn,street_type_matched,SM24601,1233 Yonge Street & 9 Woodlawn Avenue East,In-house,Mark Mandelbaum,,
2026.TE32.5,1233 Yonge Street and 9 Woodlawn Avenue East - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,1233 yonge; 9 woodlawn,street_type_matched,SM34841,1233 Yonge Street and 9 Woodlawn Avenue East,Consultant,Jessica Smuskowitz,1233Y Development Limited Partnership; Coriam Capital Management Corporation; Calmco Inc,Client; Other; Other
2026.TE32.5,1233 Yonge Street and 9 Woodlawn Avenue East - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,1233 yonge; 9 woodlawn,street_type_matched,SM34844,1233 Yonge Street and 9 Woodlawn Avenue East,Consultant,Adam Brown,1233Y Development Limited Partnership; Coriam Capital Management Corporation; Calmco Inc,Client; Other; Other
2026.TE32.5,1233 Yonge Street and 9 Woodlawn Avenue East - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,1233 yonge,street_type_matched,SM31749,Planning approvals for the redevelopment of 1233 Yonge Street.,Consultant,Leslie M Klein,Plazacorp,Client
2026.TE32.5,1233 Yonge Street and 9 Woodlawn Avenue East - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,1233 yonge; 9 woodlawn,street_type_matched,SM31751,1233 Yonge St. and 9 Woodlawn Ave.E.,In-house,Anthony Heller,,
2026.TE32.6,1233 Yonge Street and 9 Woodlawn Avenue East - Rental Housing Demolition Application - Decision Report - Approval,1233 yonge; 9 woodlawn,street_type_matched,SM24601,1233 Yonge Street & 9 Woodlawn Avenue East,In-house,Mark Mandelbaum,,
2026.TE32.6,1233 Yonge Street and 9 Woodlawn Avenue East - Rental Housing Demolition Application - Decision Report - Approval,1233 yonge; 9 woodlawn,street_type_matched,SM34841,1233 Yonge Street and 9 Woodlawn Avenue East,Consultant,Jessica Smuskowitz,1233Y Development Limited Partnership; Coriam Capital Management Corporation; Calmco Inc,Client; Other; Other
2026.TE32.6,1233 Yonge Street and 9 Woodlawn Avenue East - Rental Housing Demolition Application - Decision Report - Approval,1233 yonge; 9 woodlawn,street_type_matched,SM34844,1233 Yonge Street and 9 Woodlawn Avenue East,Consultant,Adam Brown,1233Y Development Limited Partnership; Coriam Capital Management Corporation; Calmco Inc,Client; Other; Other
2026.TE32.6,1233 Yonge Street and 9 Woodlawn Avenue East - Rental Housing Demolition Application - Decision Report - Approval,1233 yonge,street_type_matched,SM31749,Planning approvals for the redevelopment of 1233 Yonge Street.,Consultant,Leslie M Klein,Plazacorp,Client
2026.TE32.6,1233 Yonge Street and 9 Woodlawn Avenue East - Rental Housing Demolition Application - Decision Report - Approval,1233 yonge; 9 woodlawn,street_type_matched,SM31751,1233 Yonge St. and 9 Woodlawn Ave.E.,In-house,Anthony Heller,,
2026.TE32.10,"17-19, 23 and 25 Toronto Street and 55 and 57 Adelaide Street East - Zoning By-law Amendment Application - Decision Report - Approval",19 toronto; 23 toronto; 25 toronto,street_type_matched,SM23481,"To obtain preliminary planning approval for a proposed mixed use high density multifamily development at 17-19, 23, 25 Toronto Street, Toronto.",In-house,Adidharma Purnomo,,
2026.TE32.10,"17-19, 23 and 25 Toronto Street and 55 and 57 Adelaide Street East - Zoning By-law Amendment Application - Decision Report - Approval",25 toronto; 57 adelaide,street_type_matched,SM33843,Planning applications for the lands located at 17-25 Toronto Street and 53-57 Adelaide Street East.,Consultant,Kelly Graham,Goband Investment Ltd,Client
2026.TE32.11,"17-19, 23 and 25 Toronto Street and 55 Adelaide Street East - Alterations to Heritage Properties, Demolition of a Building within the St. Lawrence Neighbourhood Heritage Conservation District, Approval of a Replacement Building and Authority to Enter into a Heritage Easement Agreement",19 toronto; 23 toronto; 25 toronto,street_type_matched,SM23481,"To obtain preliminary planning approval for a proposed mixed use high density multifamily development at 17-19, 23, 25 Toronto Street, Toronto.",In-house,Adidharma Purnomo,,
2026.TE32.11,"17-19, 23 and 25 Toronto Street and 55 Adelaide Street East - Alterations to Heritage Properties, Demolition of a Building within the St. Lawrence Neighbourhood Heritage Conservation District, Approval of a Replacement Building and Authority to Enter into a Heritage Easement Agreement",25 toronto,street_type_matched,SM33843,Planning applications for the lands located at 17-25 Toronto Street and 53-57 Adelaide Street East.,Consultant,Kelly Graham,Goband Investment Ltd,Client
2026.TE32.12,"954, 956 and 958 Broadview Avenue and 72 Chester Hill Road - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval",72 chesterhill; 958 broadview,street_type_matched,SM30326,"954 - 958 Broadview Avenue
72 Chester Hill Road",In-house,Stephen Diamond,,
2026.TE32.12,"954, 956 and 958 Broadview Avenue and 72 Chester Hill Road - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval",958 broadview,street_type_matched,SM21385,"Estonian House (958 Broadview Avenue) as it relates to the ""Broadview Avenue Planning Study"" that is currently under way in Ward 29",In-house,Steve Deveaux,,
2026.TE32.12,"954, 956 and 958 Broadview Avenue and 72 Chester Hill Road - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval",958 broadview,street_type_matched,SM23508,Heritage designation creates issues to be resolved prior to redevelopment planning for 958 Broadview Ave.(Estonian House).,In-house,Raivo Remmel,,
2026.TE32.12,"954, 956 and 958 Broadview Avenue and 72 Chester Hill Road - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval",958 broadview,street_type_matched,SM22814,958 Broadview Ave.,In-house,Robert Cooper,,
2026.TE32.12,"954, 956 and 958 Broadview Avenue and 72 Chester Hill Road - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval",72 chesterhill; 958 broadview,street_type_matched,SM28371,Community Engagement services in support of applications submitted in connection with redevelopment of 954-958 Broadview Ave. & 72 Chester Hill Rd.,Consultant,Tyler Grinyer,Revera Inc.,Client
2026.TE32.12,"954, 956 and 958 Broadview Avenue and 72 Chester Hill Road - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval",72 chesterhill; 958 broadview,street_type_matched,SM28166,Community Engagement services in support of applications submitted in connection with redevelopment of 954-958 Broadview Ave. & 72 Chester Hill Rd.,Consultant,Jocelyn Deeks,Revera Inc.,Client
2026.TE32.12,"954, 956 and 958 Broadview Avenue and 72 Chester Hill Road - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval",958 broadview,street_type_matched,SM27204,"We are currently working with the Toronto Estonian House to redevelop their property located at 958 Broadview Avenue.  We are in the early stages of developing plans for a retirement living residence, which would be the subject of a development application",In-house,Mike Brcko,,
2026.SC31.1,3307 and 3313 Ellesmere Road - Official Plan Amendment and Zoning By-law Amendment - Decision Report - Approval,3313 ellesmere,street_type_matched,SM37152,"Official Plan and Zoning By-law Amendment Application Nos. 25 230280 ESC 25 OZ
3307-3313 Ellesmere Road",Consultant,Michael Testaguzza,1001184476 Ontario Inc.,Client
2026.CC41.14,155 St Dennis Drive - Ontario Land Tribunal Hearing - Request for Directions,155 stdennis,street_type_matched,SM33818,Development Application 155 St Dennis Drive,Consultant,Craig Lametti,Don Valley Trails Park Holdings Inc,Client
2026.CC41.14,155 St Dennis Drive - Ontario Land Tribunal Hearing - Request for Directions,155 stdennis,street_type_matched,SM33481,"East Don Trail expansion, Meadoway Trail connection, possible development at 155 St. Dennis Drive.",Consultant,Peter Van Loan,Tercot Communities,Client
2026.EY32.5,3100 Weston Road - Zoning By-law Amendment Application - Appeal Report,3100 weston,street_type_matched,SM35209,Assist client with planning and development application at 3100 Weston Road,Consultant,Kyle Chamberlain,AvranceCorp Developments,Client
2026.EY32.5,3100 Weston Road - Zoning By-law Amendment Application - Appeal Report,3100 weston,street_type_matched,SM35146,Subdivision planning and condo development at 3100 Weston Rd Toronto Ontario M9M 2S7,Consultant,Jim Karygiannis,AvranceCorp Developments,Client
2026.EY32.5,3100 Weston Road - Zoning By-law Amendment Application - Appeal Report,3100 weston,street_type_matched,SM35061,"Address of the property: 3100 Weston Road, North York.",In-house,Samuel Babs,,
2026.SC32.1,"5, 7, 9 and 11 Bellamy Road South - Zoning By-law Amendment Application - Decision Report - Approval",11 bellamy,street_type_matched,SM35968,5-11 Bellamy Rd S Planning and development subdivision application,Consultant,Jim Karygiannis,Profile Development,Client
2026.EY32.1,2686 and 2688 Lake Shore Boulevard West - Official Plan and Zoning By-law Amendment Application - Decision Report - Approval,2686 lakeshore,street_type_matched,SM11268,"Planning Applications required for redevelopment of 2686 Lakeshore Boulevard West, Toronto",Consultant,Neil Smiley,Terra Gold Properties,Client
2026.NY34.12,245 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application- Decision Report - Approval,245 eglinton,street_type_matched,SM36776,245 Eglinton Avenue East,Consultant,Tristan Downe-Dewdney,Crestview Investment Corporation; Crestview 245 Eglinton GP Inc.; Crestview 245 Eglinton Limited Partnership,Client; Other; Parent company
2026.NY34.12,245 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application- Decision Report - Approval,245 eglinton,street_type_matched,SM36842,245 Eglinton Ave East,Consultant,Erik Cunnington,Crestview Investment Corporation,Client
2026.NY34.12,245 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application- Decision Report - Approval,245 eglinton,street_type_matched,SM36844,245 Eglinton Ave East,In-house,Bert Grant,,
2026.NY34.8,1-11 Vinci Crescent - Official Plan Amendment and Zoning Amendment Applications - Decision Report - Approval,11 vinci,street_type_matched,SM37711,The work is to support the Planning application's successful passage at City Council.  The municipal address is 1 - 11 Vinci Cres.  M3H 2Y6,Consultant,Joe Mihevc,Equiton Development Inc,Client
2026.SC33.12,60 Guildwood Parkway - Official Plan and Zoning By-law Amendment - Decision Report - Approval,60 guildwood,street_type_matched,SM37377,Planning applications to amend the official plan and zoning by-law to permit a long-term care home at 60 Guildwood Parkway,Consultant,Martin Rendl,Extendicare Inc.,Client
2026.SC33.12,60 Guildwood Parkway - Official Plan and Zoning By-law Amendment - Decision Report - Approval,60 guildwood,street_type_matched,SM37779,Approval and zoning of the proposed long-term care facility at 60 Guildwood Parkway,Consultant,Saad Baig,Extendicare Inc.; Extendicare (Canada) Inc.,Client; Subsidiary company
2026.SC33.12,60 Guildwood Parkway - Official Plan and Zoning By-law Amendment - Decision Report - Approval,60 guildwood,street_type_matched,SM37781,Approval and zoning of the proposed long-term care facility at 60 Guildwood Parkway,Consultant,Michelle German,Extendicare Inc.; Extendicare (Canada) Inc.,Client; Subsidiary company
2026.SC33.12,60 Guildwood Parkway - Official Plan and Zoning By-law Amendment - Decision Report - Approval,60 guildwood,street_type_matched,SM37782,Approval and zoning of the proposed long-term care facility at 60 Guildwood Parkway,Consultant,Bridget Kearney-Fick,Extendicare Inc.; Extendicare (Canada) Inc.,Client; Subsidiary company
2026.SC33.12,60 Guildwood Parkway - Official Plan and Zoning By-law Amendment - Decision Report - Approval,60 guildwood,street_type_matched,SM37778,Approval and zoning of the proposed long-term care facility at 60 Guildwood Parkway.,Consultant,Aidan Grove-White,Extendicare Inc.; Extendicare (Canada) Inc.,Client; Subsidiary company
2026.SC33.12,60 Guildwood Parkway - Official Plan and Zoning By-law Amendment - Decision Report - Approval,60 guildwood,street_type_matched,SM37780,Approval and zoning of the proposed long-term care facility at 60 Guildwood Parkway,Consultant,Marco Bianchi,Extendicare Inc.; Extendicare (Canada) Inc.,Client; Subsidiary company
2026.SC33.12,60 Guildwood Parkway - Official Plan and Zoning By-law Amendment - Decision Report - Approval,60 guildwood,street_type_matched,SM36933,"OPA, ZBA and related applications related to 60 Guildwood Parkway",In-house,Danielle Parr,,
2026.SC33.12,60 Guildwood Parkway - Official Plan and Zoning By-law Amendment - Decision Report - Approval,60 guildwood,street_type_matched,SM37108,"OPA, ZBA and related applications related to 60 Guildwood Parkway",In-house,Danielle Parr,,
2026.SC33.1,1911 and 1921 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,1911 eglinton; 1921 eglinton,street_type_matched,SM35494,"Golden Mile Secondary Plan, O Connor Drive Extension to Birchmount. Impact on properties located at 1911 and 1921 Eglinton Avenue East.",Consultant,Marco Bianchi,Samuel Sarick Limited; Graduate Investments Limited,Client; Other
2026.SC33.1,1911 and 1921 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,1911 eglinton; 1921 eglinton,street_type_matched,SM36889,"Golden Mile Secondary Plan, O Connor Drive Extension to Birchmount. Impact on properties located at 1911 and 1921 Eglinton Avenue East.",Consultant,Alex Glista,Samuel Sarick Limited; Graduate Investments Limited,Client; Other
2026.SC33.1,1911 and 1921 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,1911 eglinton; 1921 eglinton,street_type_matched,SM29633,Impact of Golden Mile Secondary Plan policies and designations. Owner of 1911 and 1921 Eglinton Avenue East which may be impacted by re-alignment of O'Connor Rd and other policies and designations in the Golden Mile Secondary Plan.,In-house,Madeleine Sarick,,
2026.SC33.1,1911 and 1921 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,1911 eglinton; 1921 eglinton,street_type_matched,SM35497,"Golden Mile Secondary Plan, O Connor Drive Extension to Birchmount. Impact on properties located at 1911 and 1921 Eglinton Avenue East.",Consultant,Aidan Grove-White,Samuel Sarick Limited; Graduate Investments Limited,Client; Other
2026.SC33.1,1911 and 1921 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,1911 eglinton; 1921 eglinton,street_type_matched,SM32922,Impact of Golden Mile Secondary Plan policies and designations. 1911 and 1921 Eglinton Avenue East which may be impacted by re-alignment of O'Connor Rd and other policies and designations in the Golden Mile Secondary Plan.,In-house,Julie O'Driscoll,,
2026.SC33.1,1911 and 1921 Eglinton Avenue East - Official Plan Amendment and Zoning By-law Amendment Application - Decision Report - Approval,1911 eglinton; 1921 eglinton,street_type_matched,SM32682,Impact of Golden Mile Secondary Plan policies and designations. Owner of 1911 and 1921 Eglinton Avenue East which may be impacted by re-alignment of O'Connor Rd and other policies and designations in the Golden Mile Secondary Plan.,Consultant,Amir Remtulla,Samuel Sarick Limited,Client
2026.SC33.2,"3310, 3312 and 3314 Kingston Road - Zoning By-law Amendment - Decision Report - Approval",3310 kingston; 3312 kingston; 3314 kingston,street_type_matched,SM25782,"Proposed redevelopment of the properties at 3310, 3312 and 3314 Kingston Road with a mixed-use development.",Consultant,Daniel Artenosi,3310 Kingston Development Inc.; Time Development Group Inc.,Client; Parent company
2026.SC33.2,"3310, 3312 and 3314 Kingston Road - Zoning By-law Amendment - Decision Report - Approval",3310 kingston,street_type_matched,SM33051,3310 Kingston Road Site Plan Approval,In-house,Jason Hsu,,
2026.SC33.2,"3310, 3312 and 3314 Kingston Road - Zoning By-law Amendment - Decision Report - Approval",3310 kingston,street_type_matched,SM32203,3310 Kingston Road,Consultant,Jeremy Beamer,Morrison Group of Companies,Client
